Protocol,Malicious-ness,Adaptivity,Mixed adv,# Corrupted,Adv Structures,Security level,Error,Fairness,Compos-ability,Leakage-secure,Assump level,Specific,Private channels,Broadcast,Setup Assump,Asynchro,Rounds,Complexity Level,Comm Preproc,Online Comp,Setup Comp,All or subset,Comp Model,Impl,Annotation
[GL02]-cr,5,1,1,3,1,2,5,2,4,1,3,5,1,5,5,1,5,1,5,1,,,,,"Overcomes known limits on the use of Byzantine agreement to emulate broadcast channels in MPC, by introducing a weaker version of fairness in which not all honest parties may receive the same output. The protocol achieves MPC with this security level with composability for a dishonest majority."
[SR00a],5,3,1,1,1,5,5,5,3,1,5,5,1,5,5,5,3,1,5,1,5,,,,"Gives the first MPC protocols secure against a mobile adversary, who can corrupt different subsets of adversaries at each round."
[PSR02],5,3,1,1,1,5,5,5,3,1,5,5,1,5,5,5,3,1,5,1,5,,,,Efficiency improvement on [SR00a] for asynchronous MPC.
[CLOS02],5,3,1,5,1,2,3,1,5,1,3,5,1,1,1,5,1,1,5,,,,,,"Uses universal composability results of [Can00] to give the first two-party and multi-party protocols secure against up to n-1 adaptively and actively corrupted parties. Requires trusted setup of a ""common reference string""."
[Pass04],5,1,1,5,1,2,5,1,4,1,3,5,1,5,5,1,5,1,5,,,b,n,,A protocol for universally composable secure MPC that preserves security under concurrent executions. This is the first protocol to achieve this for a dishonest majority without requiring setup assumptions such as a common reference string.
[DI05],5,3,1,3,1,2,5,5,1,1,4,5,1,1,5,1,5,1,5,1,,,,,"Shows constant-round multiparty computation, with a malicious adversary corrupting a minority of parties, founded only on the use of a PRG."
[BH06],5,3,1,3,1,5,3,5,1,1,5,5,1,1,5,1,1,2,5,1,5,5,,,"Gives an unconditionally secure MPC protocol against up to $n/2$ corrupted parties in the broadcast model, with improved broadcast efficiency over [CDD+99]; only $n^2$ bits of communication per multiplication."
[GS12],5,3,1,5,1,2,5,1,1,1,3,5,1,5,5,1,5,1,5,,,,,,"Gives the first MPC protocol secure against a malicious, adaptive ([CFGN96]) adversary with no honest majority, with a constant number of rounds, without requiring trusted setup as in [CLOS02]. The new technique is a non-blackbox simulator."
[BFO12],5,3,1,3,1,4,3,5,1,1,5,5,1,1,5,1,5,3,1,,,,A,,"A protocol providing unconditional security against a malicious adversary adaptively corrupting $t < n/2$ players, which matches the communication complexity of the semi-honest case."
[DPSZ12],5,3,1,5,1,2,3,1,5,1,3,1,1,5,3,1,1,3,1,,1,5,A,y,"A protocol in the preprocessing model which is statistically UC-secure against a malicious adversary corrupting up to $n-1$ players, with linear computation and communication complexity in the online phase. The offline phase makes use of somewhat homomorphic encryption."
[BH07],5,3,5,1,1,5,5,5,3,1,5,5,1,5,5,5,3,1,5,1,5,,,,"A more efficient protocol for perfectly-secure asynchronous MPC with malicious, adaptive  adversaries. It achieves the optimal bound of up to n/4 corrupted players, and requires O(n^3) communication per multiplication."
[CEMY09],5,1,1,5,1,2,5,1,5,1,3,1,1,1,3,1,5,1,2,,,,,,"Gives universally composable protocols in the preprocessing model for constant-round multi-party computation, secure against an adversary corrupting an arbitrary number of parties. Provides fairness if there are less than n/2 corrupted parties."
[DO10],5,1,1,5,1,2,3,1,5,1,2,5,1,5,3,1,1,2,2,,,A,,,"The first major efficiency improvement (over [CLOS02]) for MPC against a dishonest majority, using a preprocessing phase with a cut-and-choose technique. Followed by [BDOZ11] and [DPSZ12]."
[BDOZ11],5,3,1,5,1,2,3,1,5,1,3,5,1,5,3,1,1,2,2,,1,A,,,Uses Gentry's semi-homomorphic encryption to construct a UC MPC protocol secure against dishonest majority. Has a function-independent preprocessing phase and a highly efficient online phase. Result is improved by [DPSZ12].
[DKLMS12],3,3,1,5,1,2,3,1,5,1,3,1,1,5,3,1,1,3,2,,1,A,y,,"Describes an implementation of the protocol of [DPSZ12], with modifications to improve efficiency by a covert rather than malicious adversary model. Efficiency results are presented for AES."
[DKL+13],3,3,1,5,1,2,3,1,5,1,3,1,1,5,3,1,1,3,2,,1,A,y,,Efficiency improvements on [DPSZ12].
[CHP13]-async,5,1,1,1,1,4,3,5,1,1,5,5,1,5,5,5,1,3,1,,,A,,,"Gives the first amortized linear-communication asynchronous MPC protocols, for up to n/4  corrupted parties in the pure asynchronous model  with statistical security, and with perfect security in a hybrid setting with one synchronous round."
[CHP13]-hybsync,5,1,1,1,1,5,5,5,1,1,5,5,1,5,5,3,1,3,1,,,A,,,"Gives the first amortized linear-communication asynchronous MPC protocols, for up to n/4  corrupted parties in the pure asynchronous model  with statistical security, and with perfect security in a hybrid setting with one synchronous round."
